0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.512534756747160036e-01	3.464427363942398919e-01	-7.344534494039641759e-01	8.623972774524604201e-01	8.993531113789248188e-01
2.640779329407451081e-01	5.601552574263526374e-01	-1.000000000000000000e+00	8.312079885363931053e-01	4.306396888323331673e-01
3.807882769146605506e-01	7.002470721300446677e-01	-8.391104532023696549e-01	6.699668608189575381e-02	-6.660072115627942990e-01
4.960885505173380783e-01	7.366084323106162346e-01	-3.011112749046698789e-01	-7.882635587899293750e-01	-8.740356179768788980e-01
6.109592671055443791e-01	6.420332211459289784e-01	4.479013704771194204e-01	-9.579538323852271331e-01	2.775580829397452653e-01
7.111807402013916590e-01	4.209929391375135665e-01	9.724369136182118289e-01	-1.574986652098856743e-01	1.000000000000000000e+00
8.191155013847308819e-01	6.259565547760589412e-03	9.391750825157937355e-01	1.000000000000000000e+00	-1.345837967383821665e-01
9.217145498317326213e-01	-5.234369792555951806e-01	1.547284758808164518e-01	8.297125692439529798e-01	-9.711496253152617220e-01
1.000000000000000000e+00	-1.000000000000000000e+00	-9.635575334381318857e-01	-8.169042001194875002e-01	5.219518228156535544e-01
